Year,Storm Name,Storm Dates,Time,Reg,Sub Reg,Country,State,Location,Lat,Lon,Surge_m,Surge_ft,Storm_Tide_m,Storm_Tide_ft,Storm_Tide_Waves_m,Storm_Tide_Waves_ft,Datum,Type of Obs,Tropical,Confidence,Surge ID,Storm ID
1897,Typhoon of Samar and Leyte,12-Oct,,1,1,PH,,Hernani (Southern Leyte),11.412,125.549,,,7.3,,,,,,Y,3,,
1908,Typhoon of October 13 1908,13-Oct,,1,1,PH,,Aparri,18.3597,121.6412,,,3,,,,,,Y,2,,
1908,,Sep 17-24,,1,1,PH,,,,,,,2.01,6.6,,,,,Y,3,,
1912,Typhoon of Leyte and Cebu,Oct 14-16,,1,1,PH,,,10.3831,124.9819,7,23,,,,,,,Y,2,,
1912,Typhoon of Cagayan and Batanes,Sep 27-29,,1,1,PH,,,,,,,3.05,10,,,,,Y,2,,
1912,Typhoon of Samar Leyte and Panay,Nov 24-25,,1,1,PH,,,,,,,2.01,6.6,,,,,Y,3,,
1914,Typhoon of Samar and Luzon,Jun 15-24,,1,1,PH,,,12.3329,125.2886,,,2.5,,,,,,Y,3,,
1916,Typhoon of Biliran and Northern Leyte,Jan 10-16,,1,1,PH,,,11.2384,124.4026,,,2,,,,,,Y,3,,
1968,Didang,,,1,1,PH,,Barrio Sulvec - Narvacan - Ilocos Sur (All one location),17.412,120.4591,9.14,30,,,,,,,Y,2,,
1970,,,,1,1,PH,,,14.5154,120.3806,,,3.6,,,,,,Y,3,,
1970,Typhoon of Sening,Oct 11-15,,1,1,PH,,,17.1903,120.4204,,,3.6,,,,,,Y,3,,
1970,,,,1,1,PH,,,13.068,124.1696,,,1.2,,,,,,Y,2,,
1972,,,,1,1,PH,,,10.7456,125.0153,,,3,,,,,,Y,3,,
1975,Auring,,,1,1,PH,,Tandag Surigao,9.1014,126.1598,1.27,4.15,2.38,7.8,,,,,Y,3,,
1979,,,,1,1,PH,,,9.0318,126.2279,,,2.4,,,,,,Y,3,,
1981,,,,1,1,PH,,South of Tinambac,13.7823,123.3092,,,4.5,,,,,,Y,2,,
